title,abstract,link,,authors,date,,,,,,
GEARS: Local Geometry-aware Hand-object Interaction Synthesis,,,,"Keyang Zhou (Eberhard-Karls-Universit??t T??bingen) | Bharat Lal Bhatnagar (Eberhard-Karls-Universit??t T??bingen) | Jan Lenssen (Saarland Informatics Campus, Max-Planck Institute) | Gerard Pons-Moll (University Of T??bingen)",,,,,,,
Template Free Reconstruction of Human-object Interaction with Procedural Interaction Generation,"Reconstructing human-object interaction in 3D from a single RGB image is a challenging task and existing data driven methods do not generalize beyond the objects present in the carefully curated 3D interaction datasets. Capturing large-scale real data to learn strong interaction and 3D shape priors is very expensive due to the combinatorial nature of human-object interactions. In this paper, we propose ProciGen (Procedural interaction Generation), a method to procedurally generate datasets with both, plausible interaction and diverse object variation. We generate 1M+ human-object interaction pairs in 3D and leverage this large-scale data to train our HDM (Hierarchical Diffusion Model), a novel method to reconstruct interacting human and unseen objects, without any templates. Our HDM is an image-conditioned diffusion model that learns both realistic interaction and highly accurate human and object shapes. Experiments show that our HDM trained with ProciGen significantly outperforms prior methods that requires template meshes and that our dataset allows training methods with strong generalization ability to unseen object instances. Our code and data will be publicly released at: https://virtualhumans.mpi-inf.mpg.de/procigen-hdm.",http://arxiv.org/abs/2312.07063v2,,"Xianghui Xie (University Of T??bingen) | Bharat Lal Bhatnagar (Eberhard-Karls-Universit??t T??bingen) | Jan Lenssen (Saarland Informatics Campus, Max-Planck Institute) | Gerard Pons-Moll (University Of T??bingen)",2023-12-12 08:32:55+00:00,,,,,,
NRDF: Neural Riemannian Distance Fields for Learning Articulated Pose Priors,"Faithfully modeling the space of articulations is a crucial task that allows recovery and generation of realistic poses, and remains a notorious challenge. To this end, we introduce Neural Riemannian Distance Fields (NRDFs), data-driven priors modeling the space of plausible articulations, represented as the zero-level-set of a neural field in a high-dimensional product-quaternion space. To train NRDFs only on positive examples, we introduce a new sampling algorithm, ensuring that the geodesic distances follow a desired distribution, yielding a principled distance field learning paradigm. We then devise a projection algorithm to map any random pose onto the level-set by an adaptive-step Riemannian optimizer, adhering to the product manifold of joint rotations at all times. NRDFs can compute the Riemannian gradient via backpropagation and by mathematical analogy, are related to Riemannian flow matching, a recent generative model. We conduct a comprehensive evaluation of NRDF against other pose priors in various downstream tasks, i.e., pose generation, image-based pose estimation, and solving inverse kinematics, highlighting NRDF's superior performance. Besides humans, NRDF's versatility extends to hand and animal poses, as it can effectively represent any articulation.",http://arxiv.org/abs/2403.03122v1,,"Yannan He (University Of T??bingen) | Garvita Tiwari (University Of Tuebingen And MPI-Saarbrucken) | Tolga Birdal (Imperial College London) | Jan Lenssen (Saarland Informatics Campus, Max-Planck Institute) | Gerard Pons-Moll (University Of T??bingen)",2024-03-05 17:07:29+00:00,,,,,,
Robust Image Denoising through Adversarial Frequency Mixup,,,,Donghun Ryou (Seoul National University) | Inju Ha (None) | Hyewon Yoo (Seoul National University) | Dongwan Kim (Seoul National University) | Bohyung Han (Seoul National University),,,,,,,
Residual Learning in Diffusion Models,,,,Zhang Junyu (Central South University) | Daochang Liu (University Of Sydney) | Eunbyung Park (SKKU) | Shichao Zhang (Central South University) | Chang Xu (University Of Sydney),,,,,,,
Random Entangled Tokens for Adversarially Robust Vision Transformer,,,,"Huihui Gong (University Of Sydney) | Minjing Dong (City University Of Hong Kong) | Siqi Ma (University Of New South Wales) | Seyit Camtepe (CSIRO) | Surya Nepal (, CSIRO) | Chang Xu (University Of Sydney)",,,,,,,
Learning by Correction: Efficient Tuning Task for Zero-Shot Generative Vision-Language Reasoning,,,,"Rongjie Li (SIST ,ShanghaiTech University) | Yu Wu (ShanghaiTech University) | Xuming He (ShanghaiTech University)",,,,,,,
From Pixels to Graphs: Open-Vocabulary Scene Graph Generation with Vision-Language Models,,,,"Rongjie Li (SIST ,ShanghaiTech University) | Songyang Zhang (Shanghai AI Laboratory) | Dahua Lin (The Chinese University Of Hong Kong) | Kai Chen (Shanghai AI Laboratory) | Xuming He (ShanghaiTech University)",,,,,,,
DSGG: Dense Relation Transformer for an End-to-end Scene Graph Generation,,,,Zeeshan Hayder (CSIRO) | Xuming He (ShanghaiTech University),,,,,,,
Towards Automated Movie Trailer Generation,,,,Dawit Argaw Argaw (None) | Mattia Soldan (None) | Alejandro Pardo (KAUST) | Chen Zhao (King Abdullah University Of Science And Technology (KAUST)) | Fabian Caba Heilbron (Adobe Research) | Joon Chung (KAIST) | Bernard Ghanem (KAUST),,,,,,,
Privacy-preserving Optics for Enhancing Protection in Face De-identification,,,,Jhon Lopez (Universidad Industrial De Santander) | Carlos Hinojosa (KAUST) | Henry Arguello (Universidad Industrial De Santander) | Bernard Ghanem (KAUST),,,,,,,
End-to-End Temporal Action Detection with 1B Parameters Across 1000 Frames,"Recently, temporal action detection (TAD) has seen significant performance improvement with end-to-end training. However, due to the memory bottleneck, only models with limited scales and limited data volumes can afford end-to-end training, which inevitably restricts TAD performance. In this paper, we reduce the memory consumption for end-to-end training, and manage to scale up the TAD backbone to 1 billion parameters and the input video to 1,536 frames, leading to significant detection performance. The key to our approach lies in our proposed temporal-informative adapter (TIA), which is a novel lightweight module that reduces training memory. Using TIA, we free the humongous backbone from learning to adapt to the TAD task by only updating the parameters in TIA. TIA also leads to better TAD representation by temporally aggregating context from adjacent frames throughout the backbone. We evaluate our model across four representative datasets. Owing to our efficient design, we are able to train end-to-end on VideoMAEv2-giant and achieve 75.4% mAP on THUMOS14, being the first end-to-end model to outperform the best feature-based methods.",http://arxiv.org/abs/2311.17241v1,,"Shuming Liu (KAUST) | Chenlin Zhang (Moonshot AI, Ltd) | Chen Zhao (King Abdullah University Of Science And Technology (KAUST)) | Bernard Ghanem (KAUST)",2023-11-28 21:31:04+00:00,,,,,,
Dr2Net: Dynamic Reversible Dual-Residual Networks for Memory-Efficient Finetuning,"Large pretrained models are increasingly crucial in modern computer vision tasks. These models are typically used in downstream tasks by end-to-end finetuning, which is highly memory-intensive for tasks with high-resolution data, e.g., video understanding, small object detection, and point cloud analysis. In this paper, we propose Dynamic Reversible Dual-Residual Networks, or Dr$^2$Net, a novel family of network architectures that acts as a surrogate network to finetune a pretrained model with substantially reduced memory consumption. Dr$^2$Net contains two types of residual connections, one maintaining the residual structure in the pretrained models, and the other making the network reversible. Due to its reversibility, intermediate activations, which can be reconstructed from output, are cleared from memory during training. We use two coefficients on either type of residual connections respectively, and introduce a dynamic training strategy that seamlessly transitions the pretrained model to a reversible network with much higher numerical precision. We evaluate Dr$^2$Net on various pretrained models and various tasks, and show that it can reach comparable performance to conventional finetuning but with significantly less memory usage.",http://arxiv.org/abs/2401.04105v1,,"Chen Zhao (King Abdullah University Of Science And Technology (KAUST)) | Shuming Liu (KAUST) | Karttikeya Mangalam (University Of California Berkeley) | Guocheng Qian (KAUST) | Fatimah Zohra (King Abdullah University Of Science And Technology) | Abdulmohsen Alghannam (University Of Virginia, Charlottesville) | Jitendra Malik (University Of California At Berkeley) | Bernard Ghanem (KAUST)",2024-01-08 18:59:31+00:00,,,,,,
Self-Training Large Language Models for Improved Visual Program Synthesis With Visual Reinforcement,,,,Zaid Khan (Northeastern University) | Vijay Kumar BG (NEC Laboratories America) | Samuel Schulter (None) | Yun Fu (Northeastern University) | Manmohan Chandraker (UC San Diego),,,,,,,
Instantaneous Perception of 3D Motion for Vehicles,,,,"Di Liu (Rutgers University, New Brunswick) | Bingbing Zhuang (NEC Labs America) | Dimitris N. Metaxas (Rutgers) | Manmohan Chandraker (UC San Diego)",,,,,,,
Delving into Lidar for Neural Radiance Field on Road Scenes,,,,"Shanlin Sun (University Of California, Irvine) | Bingbing Zhuang (NEC Labs America) | Ziyu Jiang (Texas A&M) | Buyu Liu (NEC-Labs) | Xiaohui Xie (University Of California, Irvine) | Manmohan Chandraker (UC San Diego)",,,,,,,
AIDE: An Automatic Data Engine for Object Detection in Autonomous Driving,,,,"Mingfu Liang (Northwestern University) | Jong-Chyi Su (None) | Samuel Schulter (None) | Sparsh Garg (NEC Laboratories America) | Shiyu Zhao (Rutgers University, New Brunswick) | Ying Wu (Northwestern University) | Manmohan Chandraker (UC San Diego)",,,,,,,
The Manga Whisperer: Automatically Generating Transcriptions for Comics,"In the past few decades, Japanese comics, commonly referred to as Manga, have transcended both cultural and linguistic boundaries to become a true worldwide sensation. Yet, the inherent reliance on visual cues and illustration within manga renders it largely inaccessible to individuals with visual impairments. In this work, we seek to address this substantial barrier, with the aim of ensuring that manga can be appreciated and actively engaged by everyone. Specifically, we tackle the problem of diarisation i.e. generating a transcription of who said what and when, in a fully automatic way.   To this end, we make the following contributions: (1) we present a unified model, Magi, that is able to (a) detect panels, text boxes and character boxes, (b) cluster characters by identity (without knowing the number of clusters apriori), and (c) associate dialogues to their speakers; (2) we propose a novel approach that is able to sort the detected text boxes in their reading order and generate a dialogue transcript; (3) we annotate an evaluation benchmark for this task using publicly available [English] manga pages. The code, evaluation datasets and the pre-trained model can be found at: https://github.com/ragavsachdeva/magi.",http://arxiv.org/abs/2401.10224v1,,Ragav Sachdeva (University Of Oxford) | Andrew Zisserman (University Of Oxford),2024-01-18 18:59:09+00:00,,,,,,
Amodal Ground Truth and Completion in the Wild,"The problem we study in this paper is amodal image segmentation: predicting entire object segmentation masks including both visible and invisible (occluded) parts. In previous work, the amodal segmentation ground truth on real images is usually predicted by manual annotaton and thus is subjective. In contrast, we use 3D data to establish an automatic pipeline to determine authentic ground truth amodal masks for partially occluded objects in real images. This pipeline is used to construct an amodal completion evaluation benchmark, MP3D-Amodal, consisting of a variety of object categories and labels. To better handle the amodal completion task in the wild, we explore two architecture variants: a two-stage model that first infers the occluder, followed by amodal mask completion; and a one-stage model that exploits the representation power of Stable Diffusion for amodal segmentation across many categories. Without bells and whistles, our method achieves a new state-of-the-art performance on Amodal segmentation datasets that cover a large variety of objects, including COCOA and our new MP3D-Amodal dataset. The dataset, model, and code are available at https://www.robots.ox.ac.uk/~vgg/research/amodal/.",http://arxiv.org/abs/2312.17247v1,,"Guanqi Zhan (VGG, University Of Oxford) | Chuanxia Zheng (University Of Oxford) | Weidi Xie (Shanghai Jiao Tong University) | Andrew Zisserman (University Of Oxford)",2023-12-28 18:59:41+00:00,,,,,,
AutoAD III: The Prequel -- Back to the Pixels,,,,"Tengda Han (University Of Oxford) | Max Bain (VGG, University Of Oxford) | Arsha Nagrani (Google ) | G??l Varol (Ecole Des Ponts ParisTech) | Weidi Xie (Shanghai Jiao Tong University) | Andrew Zisserman (University Of Oxford)",,,,,,,
Learning from One Continuous Video Stream,,,,Joao Carreira (DeepMind) | Michael King (Fit) | Viorica Patraucean (DeepMind) | Dilara Gokay (Google DeepMind) | Catalin Ionescu (Google) | Yi Yang (DeepMind) | Daniel Zoran (DeepMind) | Joseph Heyward (Google) | Carl Doersch (DeepMind) | Yusuf Aytar (Google DeepMind) | Dima Damen (None) | Andrew Zisserman (University Of Oxford),,,,,,,
Versatile Neural Video Codec,,,,Jiahao Li (Microsoft Research Asia) | Bin Li (Microsoft) | Yan Lu (Microsoft Research Asia),,,,,,,
Implicit Motion Function,,,,Yue Gao (Microsoft Research) | Jiahao Li (Microsoft Research Asia) | Lei Chu (Microsoft Research Asia) | Yan Lu (Microsoft Research Asia),,,,,,,
Hierarchical Intra-modal Correlation Learning for Label-free 3D Semantic Segmentation,,,,Xin Kang (None) | Lei Chu (Microsoft Research Asia) | Jiahao Li (Microsoft Research Asia) | Xuejin Chen (University Of Science And Technology Of China) | Yan Lu (Microsoft Research Asia),,,,,,,
Generative Latent Coding for Ultra-Low Bitrate Image Compression,,,,Zhaoyang Jia (University Of Science And Technology Of China) | Jiahao Li (Microsoft Research Asia) | Bin Li (Microsoft) | Houqiang Li (University Of Science And Technology Of China) | Yan Lu (Microsoft Research Asia),,,,,,,
Motion Blur Decomposition with Cross-shutter Guidance,,,,Xiang Ji (The University Of Tokyo) | Haiyang Jiang (None) | Yinqiang Zheng (None),,,,,,,
Rolling Shutter Correction with Intermediate Distortion Flow Estimation,,,,"Mingdeng Cao (The University Of Tokyo) | Sidi Yang (Shenzhen International Graduate School, Tsinghua University) | Yujiu Yang (Tsinghua University) | Yinqiang Zheng (None)",,,,,,,
Fooling Polarization-based Vision using Locally Controllable Polarizing Projection,"Polarization is a fundamental property of light that encodes abundant information regarding surface shape, material, illumination and viewing geometry. The computer vision community has witnessed a blossom of polarization-based vision applications, such as reflection removal, shape-from-polarization, transparent object segmentation and color constancy, partially due to the emergence of single-chip mono/color polarization sensors that make polarization data acquisition easier than ever. However, is polarization-based vision vulnerable to adversarial attacks? If so, is that possible to realize these adversarial attacks in the physical world, without being perceived by human eyes? In this paper, we warn the community of the vulnerability of polarization-based vision, which can be more serious than RGB-based vision. By adapting a commercial LCD projector, we achieve locally controllable polarizing projection, which is successfully utilized to fool state-of-the-art polarization-based vision algorithms for glass segmentation and color constancy. Compared with existing physical attacks on RGB-based vision, which always suffer from the trade-off between attack efficacy and eye conceivability, the adversarial attackers based on polarizing projection are contact-free and visually imperceptible, since naked human eyes can rarely perceive the difference of viciously manipulated polarizing light and ordinary illumination. This poses unprecedented risks on polarization-based vision, both in the monochromatic and trichromatic domain, for which due attentions should be paid and counter measures be considered.",http://arxiv.org/abs/2303.17890v1,,Zhuoxiao Li (Univerisity Of Tokyo) | Zhihang Zhong (Shanghai AI Lab) | Shohei Nobuhara (Kyoto Institute Of Technology) | Ko Nishino (Kyoto University) | Yinqiang Zheng (None),2023-03-31 08:48:57+00:00,,,,,,
IQ-VFI: Implicit Quadratic Motion Estimation for Video Frame Interpolation,,,,Mengshun Hu (None) | Kui Jiang (Harbin Institute Of Technology) | Zhihang Zhong (Shanghai AI Lab) | Zheng Wang (Wuhan University) | Yinqiang Zheng (None),,,,,,,
RGBD Objects in the Wild: Scaling Real-World 3D Object Learning from RGB-D Videos,"We introduce a new RGB-D object dataset captured in the wild called WildRGB-D. Unlike most existing real-world object-centric datasets which only come with RGB capturing, the direct capture of the depth channel allows better 3D annotations and broader downstream applications. WildRGB-D comprises large-scale category-level RGB-D object videos, which are taken using an iPhone to go around the objects in 360 degrees. It contains around 8500 recorded objects and nearly 20000 RGB-D videos across 46 common object categories. These videos are taken with diverse cluttered backgrounds with three setups to cover as many real-world scenarios as possible: (i) a single object in one video; (ii) multiple objects in one video; and (iii) an object with a static hand in one video. The dataset is annotated with object masks, real-world scale camera poses, and reconstructed aggregated point clouds from RGBD videos. We benchmark four tasks with WildRGB-D including novel view synthesis, camera pose estimation, object 6d pose estimation, and object surface reconstruction. Our experiments show that the large-scale capture of RGB-D objects provides a large potential to advance 3D object learning. Our project page is https://wildrgbd.github.io/.",http://arxiv.org/abs/2401.12592v2,,Hongchi Xia (Shanghai Jiao Tong University) | Yang Fu (University Of California San Diego) | Sifei Liu (NVIDIA) | Xiaolong Wang (UCSD),2024-01-23 09:47:13+00:00,,,,,,
HOIDiffusion: Generating Realistic 3D Hand-Object Interaction Data,,,,"Mengqi Zhang (University Of California, San Diego) | Yang Fu (University Of California San Diego) | Zheng Ding (University Of California, San Diego) | Sifei Liu (NVIDIA) | Zhuowen Tu (University Of California, San Diego) | Xiaolong Wang (UCSD)",,,,,,,
COLMAP-Free 3D Gaussian Splatting,,,,Yang Fu (University Of California San Diego) | Sifei Liu (NVIDIA) | Amey Kulkarni (NVIDIA) | Jan Kautz (NVIDIA) | Alexei A. Efros (UC Berkeley) | Xiaolong Wang (UCSD),,,,,,,
CyberDemo: Augmenting Simulated Human Demonstration for Real-World Dexterous Manipulation,"We introduce CyberDemo, a novel approach to robotic imitation learning that leverages simulated human demonstrations for real-world tasks. By incorporating extensive data augmentation in a simulated environment, CyberDemo outperforms traditional in-domain real-world demonstrations when transferred to the real world, handling diverse physical and visual conditions. Regardless of its affordability and convenience in data collection, CyberDemo outperforms baseline methods in terms of success rates across various tasks and exhibits generalizability with previously unseen objects. For example, it can rotate novel tetra-valve and penta-valve, despite human demonstrations only involving tri-valves. Our research demonstrates the significant potential of simulated human demonstrations for real-world dexterous manipulation tasks. More details can be found at https://cyber-demo.github.io",http://arxiv.org/abs/2402.14795v2,,"Jun Wang (University Of California, San Diego) | Yuzhe Qin (University Of California, San Diego) | Kaiming Kuang (University Of California, San Diego) | Yigit Korkmaz (University Of Southern California) | Akhilan Gurumoorthy (University Of California, San Diego) | Hao Su (UCSD) | Xiaolong Wang (UCSD)",2024-02-22 18:54:32+00:00,,,,,,
Imagine Before Go: Self-Supervised Generative Map for Object Goal Navigation,,,,"Sixian Zhang (None) | Xinyao Yu (University Of The Chinese Academy Of Sciences) | Xinhang Song (None) | XIAOHAN Wang (Xi'an Jiao Tong University) | Shuqiang Jiang (Institute Of Computing Technology, Chinese Academy Of Sciences)",,,,,,,
A Category Agnostic Model for Visual Rearrangement,,,,"Yuyi Liu (Institute Of Computing Technology,University Of The Chinese Academy Of Sciences) | Xinhang Song (None) | Weijie Li (Alibaba Group) | XIAOHAN Wang (Xi'an Jiao Tong University) | Shuqiang Jiang (Institute Of Computing Technology, Chinese Academy Of Sciences)",,,,,,,
An Interactive Navigation Method with Effect-oriented Affordance,,,,"XIAOHAN Wang (Xi'an Jiao Tong University) | Yuehu LIU (College Of Artificial Intelligence, Xi'an Jiao Tong University) | Xinhang Song (None) | Yuyi Liu (Institute Of Computing Technology,University Of The Chinese Academy Of Sciences) | Sixian Zhang (None) | Shuqiang Jiang (Institute Of Computing Technology, Chinese Academy Of Sciences)",,,,,,,
Lookahead Exploration with Neural Radiance Representation for Continuous Vision-Language Navigation,,,,"Zihan Wang (Institute Of Computing Technology, Chinese Academy Of Sciences) | Xiangyang Li (Institue Of Computing Technology, Chinese Academy Of Sciences) | Jiahao Yang (Institute Of Computing Technology, Chinese Academy Of Sciences) | Yeqi Liu (Institute Of Computing Technology, Chinese Academy Of Sciences) | Junjie Hu (University Of Wisconsin, Madison) | Ming Jiang (Indiana University) | Shuqiang Jiang (Institute Of Computing Technology, Chinese Academy Of Sciences)",,,,,,,
Grounded Text-to-Image Synthesis with Attention Refocusing,"Driven by the scalable diffusion models trained on large-scale datasets, text-to-image synthesis methods have shown compelling results. However, these models still fail to precisely follow the text prompt involving multiple objects, attributes, or spatial compositions. In this paper, we reveal the potential causes in the diffusion model's cross-attention and self-attention layers. We propose two novel losses to refocus attention maps according to a given spatial layout during sampling. Creating the layouts manually requires additional effort and can be tedious. Therefore, we explore using large language models (LLM) to produce these layouts for our method. We conduct extensive experiments on the DrawBench, HRS, and TIFA benchmarks to evaluate our proposed method. We show that our proposed attention refocusing effectively improves the controllability of existing approaches.",http://arxiv.org/abs/2306.05427v2,,"Quynh Phung (University Of Maryland, College Park) | Songwei Ge (University Of Maryland, College Park) | Jia-Bin Huang (University Of Maryland, College Park)",2023-06-08 17:59:59+00:00,,,,,,
Seeing the World through Your Eyes,"The reflective nature of the human eye is an underappreciated source of information about what the world around us looks like. By imaging the eyes of a moving person, we can collect multiple views of a scene outside the camera's direct line of sight through the reflections in the eyes. In this paper, we reconstruct a 3D scene beyond the camera's line of sight using portrait images containing eye reflections. This task is challenging due to 1) the difficulty of accurately estimating eye poses and 2) the entangled appearance of the eye iris and the scene reflections. Our method jointly refines the cornea poses, the radiance field depicting the scene, and the observer's eye iris texture. We further propose a simple regularization prior on the iris texture pattern to improve reconstruction quality. Through various experiments on synthetic and real-world captures featuring people with varied eye colors, we demonstrate the feasibility of our approach to recover 3D scenes using eye reflections.",http://arxiv.org/abs/2306.09348v2,,"Hadi Alzayer (University Of Maryland) | Kevin Zhang (University Of Maryland, College Park) | Brandon Y. Feng (Massachusetts Institute Of Technology) | Christopher Metzler (University Of Maryland, College Park) | Jia-Bin Huang (University Of Maryland, College Park)",2023-06-15 17:59:59+00:00,,,,,,
On the Content Bias in Frechet Video Distance,,,,"Songwei Ge (University Of Maryland, College Park) | Aniruddha Mahapatra (CMU, Carnegie Mellon University) | Gaurav Parmar (Carnegie Mellon University) | Jun-Yan Zhu (Carnegie Mellon University) | Jia-Bin Huang (University Of Maryland, College Park)",,,,,,,
In-N-Out: Faithful 3D GAN Inversion with Volumetric Decomposition for Face Editing,"3D-aware GANs offer new capabilities for view synthesis while preserving the editing functionalities of their 2D counterparts. GAN inversion is a crucial step that seeks the latent code to reconstruct input images or videos, subsequently enabling diverse editing tasks through manipulation of this latent code. However, a model pre-trained on a particular dataset (e.g., FFHQ) often has difficulty reconstructing images with out-of-distribution (OOD) objects such as faces with heavy make-up or occluding objects. We address this issue by explicitly modeling OOD objects from the input in 3D-aware GANs. Our core idea is to represent the image using two individual neural radiance fields: one for the in-distribution content and the other for the out-of-distribution object. The final reconstruction is achieved by optimizing the composition of these two radiance fields with carefully designed regularization. We demonstrate that our explicit decomposition alleviates the inherent trade-off between reconstruction fidelity and editability. We evaluate reconstruction accuracy and editability of our method on challenging real face images and videos and showcase favorable results against other baselines.",http://arxiv.org/abs/2302.04871v3,,"Yiran Xu (None) | Zhixin Shu (Adobe Systems) | Cameron Smith (Adobe Systems) | Seoung Wug Oh (Adobe Systems) | Jia-Bin Huang (University Of Maryland, College Park)",2023-02-09 18:59:56+00:00,,,,,,
Differentiable Point-based Inverse Rendering,"We present differentiable point-based inverse rendering, DPIR, an analysis-by-synthesis method that processes images captured under diverse illuminations to estimate shape and spatially-varying BRDF. To this end, we adopt point-based rendering, eliminating the need for multiple samplings per ray, typical of volumetric rendering, thus significantly enhancing the speed of inverse rendering. To realize this idea, we devise a hybrid point-volumetric representation for geometry and a regularized basis-BRDF representation for reflectance. The hybrid geometric representation enables fast rendering through point-based splatting while retaining the geometric details and stability inherent to SDF-based representations. The regularized basis-BRDF mitigates the ill-posedness of inverse rendering stemming from limited light-view angular samples. We also propose an efficient shadow detection method using point-based shadow map rendering. Our extensive evaluations demonstrate that DPIR outperforms prior works in terms of reconstruction accuracy, computational efficiency, and memory footprint. Furthermore, our explicit point-based representation and rendering enables intuitive geometry and reflectance editing. The code will be publicly available.",http://arxiv.org/abs/2312.02480v1,,Hoon-Gyu Chung (POSTECH) | Seokjun Choi (Pohang University Of Science And Technology) | Seung-Hwan Baek (POSTECH),2023-12-05 04:13:31+00:00,,,,,,
Dispersed Structured Light for Hyperspectral 3D Imaging,"Hyperspectral 3D imaging aims to acquire both depth and spectral information of a scene. However, existing methods are either prohibitively expensive and bulky or compromise on spectral and depth accuracy. In this work, we present Dispersed Structured Light (DSL), a cost-effective and compact method for accurate hyperspectral 3D imaging. DSL modifies a traditional projector-camera system by placing a sub-millimeter thick diffraction grating film front of the projector. The grating disperses structured light based on light wavelength. To utilize the dispersed structured light, we devise a model for dispersive projection image formation and a per-pixel hyperspectral 3D reconstruction method. We validate DSL by instantiating a compact experimental prototype. DSL achieves spectral accuracy of 18.8nm full-width half-maximum (FWHM) and depth error of 1mm. We demonstrate that DSL outperforms prior work on practical hyperspectral 3D imaging. DSL promises accurate and practical hyperspectral 3D imaging for diverse application domains, including computer vision and graphics, cultural heritage, geology, and biology.",http://arxiv.org/abs/2311.18287v1,,"Suhyun Shin (Pohang University Of Science And Technology) | Seokjun Choi (Pohang University Of Science And Technology) | Felix Heide (Department Of Computer Science, Princeton University) | Seung-Hwan Baek (POSTECH)",2023-11-30 06:45:52+00:00,,,,,,
Differentiable Display Photometric Stereo,"Photometric stereo leverages variations in illumination conditions to reconstruct surface normals. Display photometric stereo, which employs a conventional monitor as an illumination source, has the potential to overcome limitations often encountered in bulky and difficult-to-use conventional setups. In this paper, we present differentiable display photometric stereo (DDPS), addressing an often overlooked challenge in display photometric stereo: the design of display patterns. Departing from using heuristic display patterns, DDPS learns the display patterns that yield accurate normal reconstruction for a target system in an end-to-end manner. To this end, we propose a differentiable framework that couples basis-illumination image formation with analytic photometric-stereo reconstruction. The differentiable framework facilitates the effective learning of display patterns via auto-differentiation. Also, for training supervision, we propose to use 3D printing for creating a real-world training dataset, enabling accurate reconstruction on the target real-world setup. Finally, we exploit that conventional LCD monitors emit polarized light, which allows for the optical separation of diffuse and specular reflections when combined with a polarization camera, leading to accurate normal reconstruction. Extensive evaluation of DDPS shows improved normal-reconstruction accuracy compared to heuristic patterns and demonstrates compelling properties such as robustness to pattern initialization, calibration errors, and simplifications in image formation and reconstruction.",http://arxiv.org/abs/2306.13325v4,,Seokjun Choi (Pohang University Of Science And Technology) | Seungwoo Yoon (POSTECH) | Giljoo Nam (Meta) | Seungyong Lee (POSTECH) | Seung-Hwan Baek (POSTECH),2023-06-23 07:05:08+00:00,,,,,,
Spectral and Polarization Vision: Spectro-polarimetric Real-world Dataset,"Image datasets are essential not only in validating existing methods in computer vision but also in developing new methods. Most existing image datasets focus on trichromatic intensity images to mimic human vision. However, polarization and spectrum, the wave properties of light that animals in harsh environments and with limited brain capacity often rely on, remain underrepresented in existing datasets. Although spectro-polarimetric datasets exist, these datasets have insufficient object diversity, limited illumination conditions, linear-only polarization data, and inadequate image count. Here, we introduce two spectro-polarimetric datasets: trichromatic Stokes images and hyperspectral Stokes images. These novel datasets encompass both linear and circular polarization; they introduce multiple spectral channels; and they feature a broad selection of real-world scenes. With our dataset in hand, we analyze the spectro-polarimetric image statistics, develop efficient representations of such high-dimensional data, and evaluate spectral dependency of shape-from-polarization methods. As such, the proposed dataset promises a foundation for data-driven spectro-polarimetric imaging and vision research. Dataset and code will be publicly available.",http://arxiv.org/abs/2311.17396v2,,"Yujin Jeon (Pohang University Of Science And Technology) | Eunsue Choi (Pohang University Of Science And Technology) | Youngchan Kim (Pohang University Of Science And Technology) | Yunseong Moon (Pohang University Of Science And Technology) | Khalid Omer (Meta Reality Labs) | Felix Heide (Department Of Computer Science, Princeton University) | Seung-Hwan Baek (POSTECH)",2023-11-29 06:53:23+00:00,,,,,,
GigaPose: Fast and Robust Novel Object Pose Estimation via One Correspondence,"We present GigaPose, a fast, robust, and accurate method for CAD-based novel object pose estimation in RGB images. GigaPose first leverages discriminative ""templates"", rendered images of the CAD models, to recover the out-of-plane rotation and then uses patch correspondences to estimate the four remaining parameters. Our approach samples templates in only a two-degrees-of-freedom space instead of the usual three and matches the input image to the templates using fast nearest-neighbor search in feature space, results in a speedup factor of 35x compared to the state of the art. Moreover, GigaPose is significantly more robust to segmentation errors. Our extensive evaluation on the seven core datasets of the BOP challenge demonstrates that it achieves state-of-the-art accuracy and can be seamlessly integrated with existing refinement methods. Additionally, we show the potential of GigaPose with 3D models predicted by recent work on 3D reconstruction from a single image, relaxing the need for CAD models and making 6D pose object estimation much more convenient. Our source code and trained models are publicly available at https://github.com/nv-nguyen/gigaPose",http://arxiv.org/abs/2311.14155v2,,Van Nguyen Nguyen (Ecole Des Ponts ParisTech) | Thibault Groueix (Adobe Systems) | Mathieu Salzmann (EPFL) | Vincent Lepetit (Ecole Des Ponts ParisTech),2023-11-23 18:55:03+00:00,,,,,,
